    Step   Residual-2-norm     Threshold      Energy
        1     4.93203e+00     1.00000e-07          -6.95514e-01    -6.97140e-01
        2     5.50200e+00     3.28125e-07          -3.28125e+00    -3.28015e+00
        3     5.04388e+00     7.71794e-07          -7.71794e+00    -7.71147e+00
        4     4.73240e+00     1.10107e-06          -1.10107e+01    -1.09956e+01
        5     4.44277e+00     1.36229e-06          -1.36229e+01    -1.35891e+01
        6     4.15245e+00     1.57669e-06          -1.57669e+01    -1.56981e+01
        7     3.86333e+00     1.75530e-06          -1.75530e+01    -1.74294e+01
        8     3.55479e+00     1.90392e-06          -1.90392e+01    -1.88451e+01
        9     3.23415e+00     2.02658e-06          -2.02658e+01    -2.00009e+01
       10     2.93810e+00     2.12679e-06          -2.12679e+01    -2.09463e+01
       11     2.68253e+00     2.20845e-06          -2.20845e+01    -2.17170e+01
